species,i,hv_size_Wet,hv_size_Dry,size_rat,jaccard,sorensen,uniq_Wet,uniq_Dry,dist_cent
Bay anchovy,1,3.2664161104320066,39.573062180315056,12.115131949640439,0.07424345022189743,0.13822462721380632,0.09358288770053481,0.9251830589986791,1.6936224276794003
Mojarra,1,0.09093468591536252,18.070267896685017,198.71699907232232,0,0,1,1,3.760161022882179
Pigfish,1,1.224968065064364,25.136891067282892,20.520446029719245,0,0,1,1,2.818511672197654
Pinfish,1,3.088967671170775,15.050243534897621,4.872256733329069,0,0,1,1,3.4001962924557754
Pink shrimp,1,0.9620671551556231,26.570157245507172,27.617778138584523,0,0,1,1,3.996600588700802
Rainwater killifish,1,6.323761883747828,33.513580869282535,5.29962726069952,0.08790383672073619,0.1616022184197904,0.4909831297265852,0.9039523262233677,1.556223447102376
Silver perch,1,43.98561141215366,40.615704567906384,0.9233861543341845,0.31735432320374124,0.4818055668302679,0.5366509218387646,0.49820659971305586,1.1030454839638548
Bay anchovy,2,3.2722326875573184,41.11283611593948,12.56415421564342,0.040012733326072476,0.07694662198626637,0.4781420765027322,0.9584645401082779,1.7125760256000107
Mojarra,2,0.10429927972805217,17.659492317298856,169.31557306382038,0,0,1,1,3.5498826730693684
Pigfish,2,1.1679150541574272,44.53701919092904,38.133782959976934,0,0,1,1,3.0668930787087527
Pinfish,2,1.4374446465059896,16.67749425268277,11.60218189494873,0,0,1,1,3.4167805738585075
Pink shrimp,2,0.9887593924666404,38.225707271460394,38.66027221860255,0,0,1,1,3.9809337076262836
Rainwater killifish,2,7.127091048264485,38.34491789048251,5.380163888858958,0.0736338692685523,0.13716756033175023,0.5624242424242424,0.9186686936281117,1.617399395318855
Silver perch,2,52.55751108507678,24.253885479094563,0.46147325050902627,0.2548450974858218,0.4061777792277683,0.7031910203537278,0.3568230025925053,1.2285170668843268
Bay anchovy,3,2.247610742975224,21.563814047303683,9.594105258083555,0.07109987049425853,0.13276048751915082,0.29676071055381403,0.9267008990907549,1.5129100775914295
Mojarra,3,0.12106842864132877,19.095449094906563,157.72443162269644,0,0,1,1,3.694917846521583
Pigfish,3,1.1533220400450417,32.03778727643217,27.77870027974231,0,0,1,1,2.773788796889363
Pinfish,3,1.7222292386924418,21.009565203588387,12.199052676366914,0,0,1,1,3.3190774935067378
Pink shrimp,3,0.6862639218238282,36.07995325639547,52.574457302824094,0,0,1,1,3.9166502790710696
Rainwater killifish,3,7.4215753834723,30.099096469928206,4.055620931501726,0.08313971308990699,0.15351613847253684,0.6119402985074626,0.9043155886492465,1.4888445882476882
Silver perch,3,36.529337073050556,22.895797303441267,0.6267783414096665,0.2397532088291469,0.3867757020053623,0.6854008324970786,0.4980694980694981,1.293880276719258
Bay anchovy,4,2.9352104188702244,41.09348198012934,14.000182649919322,0.05012900463202179,0.09547208849752248,0.2839506172839506,0.9488542827889338,1.8510238449974101
Mojarra,4,0.06913098920167678,20.758601228786148,300.2792447859642,0,0,1,1,3.523791368579334
Pigfish,4,0.8051931824869543,36.66568441992502,45.53650629117079,0,0,1,1,2.9055835580027045
Pinfish,4,1.3430908130475223,20.47007326212683,15.241019492702423,0,0,1,1,3.4486469466255216
Pink shrimp,4,0.7630564863966651,27.673308870390212,36.26639621539708,0,0,1,1,3.89085850623648
Rainwater killifish,4,5.992136274804664,34.37942214634601,5.73742327772189,0.04422768042192866,0.084708883419099,0.7146401985111663,0.9502634218052431,1.8605148786868595
Silver perch,4,24.83068938912659,28.892050653019485,1.1635621629446733,0.25219022436987826,0.40279858357269055,0.5642601126472094,0.6255121546320773,1.3390395966771886
Bay anchovy,5,3.403715375002529,23.678174442225302,6.956567113725749,0.027538676558083112,0.05360124574644456,0.7867590454195534,0.9693468127174812,1.9633312602388282
Mojarra,5,0.12564596751705714,19.727102261383582,157.00545470116674,0,0,1,1,3.6163403902577844
Pigfish,5,0.9261605211217535,45.89952562772378,49.558931287775984,0,0,1,1,2.9860871752187
Pinfish,5,1.7964357203904915,24.93979521469426,13.882932148150056,0,0,1,1,3.3593782577381526
Pink shrimp,5,0.9873943426122637,24.090139126583075,24.397688022852027,0,0,1,1,4.030814404374528
Rainwater killifish,5,6.513119473154253,36.52661399381962,5.608159675924088,0.09426192847548616,0.17228403186211705,0.4307598039215686,0.8984978622270353,1.5158750191993438
Silver perch,5,49.81623409542443,31.443643940631112,0.6311927128092403,0.26573991452171847,0.41989655453369,0.6575339000554685,0.4574302063464539,1.3184868937990935
Bay anchovy,6,3.401339409333151,43.88456505355302,12.902142295219164,0.06308717771631263,0.11868674373786416,0.1750000000000001,0.9360571305816631,1.7362003470641998
Mojarra,6,0.11480906268831238,16.679496966681278,145.28031651964056,0,0,1,1,3.80954771882986
Pigfish,6,1.0752997107346094,43.31590026262588,40.282629884680134,0,0,1,1,2.819504147210994
Pinfish,6,2.1735437122432826,15.305522563638597,7.0417367166000044,0,0,1,1,3.2937559132600778
Pink shrimp,6,0.589680645314706,40.75349889936579,69.11113536313559,0,0,1,1,3.9774222061598543
Rainwater killifish,6,6.226525998976271,24.7804463345809,3.9798189774932533,0.045082480795826746,0.08627545026206274,0.7851819377466023,0.946023157468156,1.8236536028696468
Silver perch,6,34.38398977885994,23.18472871832036,0.6742884949487409,0.23703401900237658,0.3832295884530904,0.679181554564525,0.5242118947026324,1.345380670890558
Bay anchovy,7,4.918500941989875,37.11329340020508,7.545651375882461,0.0971678748874809,0.17712489968309703,0.24317617866004956,0.8997006641787184,1.7032516430012437
Mojarra,7,0.09977318183777999,17.16052261898833,171.99534286567524,0,0,1,1,3.6824235713808107
Pigfish,7,0.627593232187065,40.270961955873325,64.16729800532627,0,0,1,1,2.7705328106289917
Pinfish,7,1.317996523108484,23.680218861273534,17.9668295371705,0,0,1,1,3.417711673068381
Pink shrimp,7,0.6099609332308967,35.681610994434415,58.49819070449775,0,0,1,1,3.948101310690108
Rainwater killifish,7,8.286836949866416,27.778634623548694,3.3521396392379224,0.14329860751862852,0.2506757317401765,0.454512105649303,0.8372717269992045,1.5116292345300557
Silver perch,7,30.073771578141603,41.571986916380474,1.3823336660106866,0.1989968647443178,0.3319389242719217,0.6046053628238146,0.71396584855141,1.4955677997644006
Bay anchovy,8,2.904030299319346,30.14421816478399,10.380132112206015,0.08335202654797084,0.15387800918888114,0.12442396313364057,0.9156488542340643,1.5880191969715123
Mojarra,8,0.09203211285489178,19.78025848081139,214.92778843401302,0,0,1,1,3.4793322528412363
Pigfish,8,0.5223676451225926,46.04032994234481,88.13779025601742,0,0,1,1,3.0377805474718214
Pinfish,8,1.8458064614155192,18.100295127284628,9.806171722578002,0,0,1,1,3.4112674241637246
Pink shrimp,8,0.9969290303076721,42.2630664202387,42.39325482095298,0,0,1,1,4.020126579852359
Rainwater killifish,8,7.038853705013136,48.85146982231584,6.940259290731299,0.09410439470503223,0.172020869599747,0.31705484598046585,0.9015965938143542,1.57382345151748
Silver perch,8,24.304539056613162,30.48482762180987,1.2542853641783047,0.31284177175154376,0.47658716912116855,0.4628182599474896,0.571722866746178,1.1268819146675415
Bay anchovy,9,3.02684590753312,46.12060056988502,15.237181534448617,0.05663962165455413,0.1072070751347828,0.12962962962962965,0.9428785193375419,1.7355867642386218
Mojarra,9,0.11751305070767039,22.440626241249998,190.96284290222445,0,0,1,1,3.4942481324451964
Pigfish,9,0.9545310452030507,45.67555182064646,47.851300437200784,0,0,1,1,3.0234991428513456
Pinfish,9,2.3054704971574056,20.227385694835984,8.773647600251621,0,0,1,1,3.366243492244579
Pink shrimp,9,0.6338158229982753,46.744643371102526,73.75114611367114,0,0,1,1,3.9410298001011803
Rainwater killifish,9,4.174708280929944,22.350007004808347,5.353669166993804,0.04766668325162077,0.09099589404461865,0.7109210968428358,0.9460035922766052,1.5940898317366368
Silver perch,9,17.98531199182982,33.52451503216923,1.863994077355922,0.18123518434593786,0.3068570708826112,0.5605815831987075,0.7642597569705758,1.5500883028643366
Bay anchovy,10,3.7045692891170563,20.90862795594569,5.644010497352321,0.04266812172320463,0.08184410903958118,0.7281134401972873,0.9518274177678695,1.699246532333931
Mojarra,10,0.1261318157438537,20.785848230399246,164.79464842249465,0,0,1,1,3.599642729043934
Pigfish,10,1.3383609152222204,48.13660489654845,35.96683401992196,0,0,1,1,2.781484516578451
Pinfish,10,2.1536697810002026,17.638466161440938,8.18995851501864,0,0,1,1,3.4676229869366813
Pink shrimp,10,0.8088469479714406,35.53766441022407,43.93620387559261,0,0,1,1,4.016775501096581
Rainwater killifish,10,5.802822254595221,38.69317446965065,6.667992361649497,0.0741169568267046,0.13800537521662543,0.47088791848617173,0.9206489670628628,1.6503326059238839
Silver perch,10,67.00328197552179,24.171443671698803,0.36075014475454087,0.15125952868741552,0.26277225059734516,0.821216310981093,0.5044113173106175,1.5247079398890389
Bay anchovy,11,2.722059024569295,48.01853790993952,17.64052045768456,0.03502376145132725,0.06767721236122418,0.36923076923076925,0.9642431620834376,1.6266069708220914
Mojarra,11,0.1505123473639419,19.391916191059384,128.83937119238024,0,0,1,1,3.5551518922254473
Pigfish,11,0.7662086304407253,55.66075025727561,72.64437914939616,0,0,1,1,2.8435527782939483
Pinfish,11,2.458511178802151,23.790825673330065,9.67692393610411,0,0,1,1,3.380896521222322
Pink shrimp,11,0.9335418157820655,23.925078200473585,25.628287663183663,0,0,1,1,3.791321942283355
Rainwater killifish,11,5.897577704792545,45.569103218933975,7.7267490993638255,0.05102409436054905,0.09709405261844638,0.5763422818791947,0.9451699915873175,1.774087974937161
Silver perch,11,30.66600174892931,28.957568579656126,0.9442890148099325,0.3331566660881036,0.4998012230110793,0.5141209862554946,0.48545518784595454,0.9830429820742721
Bay anchovy,12,2.9414478013428216,28.2904353871169,9.61786076033776,0.08085372293586862,0.14961085153363715,0.20572640509013787,0.9174168128753437,1.6404268311705437
Mojarra,12,0.12124412291674261,14.093453305757935,116.24030069841652,0,0,1,1,3.5689001613408893
Pigfish,12,1.4100917048360748,45.62635694657661,32.35701393753021,0,0,1,1,3.017120204801564
Pinfish,12,2.920996796648294,14.14578500187084,4.842793740172006,0,0,1,1,3.3132726569945428
Pink shrimp,12,0.9806841720104805,33.770705317036075,34.435862514027775,0,0,1,1,3.913728055105348
Rainwater killifish,12,4.477037367658913,27.1373324008871,6.061448715376141,0.07096564889999332,0.13252647080302402,0.5320855614973262,0.922804850709087,1.651929417666752
Silver perch,12,43.19246716268402,35.83906581400972,0.8297526899545289,0.2617426146702726,0.41489066252814644,0.6204263471010537,0.5425460411345612,1.2486259214574655
Bay anchovy,13,2.213879528928365,26.90013181456131,12.150675528212865,0.05310211621725822,0.1008489402870084,0.33688415446071907,0.9454255984369281,1.8156177508018514
Mojarra,13,0.12148575737672443,15.760436080673633,129.73073075390144,0,0,1,1,3.7133120387587737
Pigfish,13,1.0564677352473093,24.016772306562984,22.73308640224671,0,0,1,1,2.9839327004418674
Pinfish,13,1.638548004386774,12.502952707599059,7.630507421281371,0,0,1,1,3.3888976076313866
Pink shrimp,13,0.6792161006475137,49.54939731479178,72.95085800756947,0,0,1,1,3.9211872894535533
Rainwater killifish,13,6.485106786742514,34.829551542427794,5.370698230232654,0.048898451311451076,0.09323772239402722,0.7030053034767236,0.9447009152643434,1.788043732371409
Silver perch,13,37.79154922891489,32.50022199973097,0.8599864959985434,0.1901721993230533,0.3195708981124236,0.7028012224983828,0.6544145996658527,1.5817396563474653
Bay anchovy,14,2.950567205211872,31.631752739161023,10.720566772140218,0.05878128462691646,0.1110357454941778,0.3492990654205608,0.9393034950101303,1.7035233055241021
Mojarra,14,0.09579916641089872,16.205933625681972,169.16570605815085,0,0,1,1,3.506962339231746
Pigfish,14,0.9091900225120787,32.19074769897614,35.40596234221046,0,0,1,1,2.9181069540491995
Pinfish,14,2.309288086130505,12.003945060088869,5.198115008770062,0,0,1,1,3.4834687952149044
Pink shrimp,14,0.8673935101866198,22.151520327988642,25.538028666161843,0,0,1,1,3.951919537602655
Rainwater killifish,14,5.067086674694866,46.69935333156838,9.216213641022938,0.05977384472382328,0.11280490648342113,0.4237804878048781,0.937477630766905,1.6557202342422128
Silver perch,14,34.780839061728955,32.9308353681982,0.9468096876487836,0.23517265870212453,0.3807931742097264,0.6293340797289869,0.6085106382978723,1.2599999155205903
Bay anchovy,15,3.1104104547117988,22.85217012119616,7.346995020087654,0.07762974538205111,0.144074986264469,0.39870340356564016,0.9181574786983882,1.8684777107731958
Mojarra,15,0.12055025260004028,17.179073996828436,142.5054997920651,0,0,1,1,3.646960754951058
Pigfish,15,0.7230635936183026,35.75222614906344,49.445479574147456,0,0,1,1,2.802234590491918
Pinfish,15,2.7343112702555232,15.888917436867183,5.810939526055625,0,0,1,1,3.503438556997054
Pink shrimp,15,0.7355328648622144,30.326675440986534,41.230891085563606,0,0,1,1,4.181528622968092
Rainwater killifish,15,6.995602794372913,26.08367621642204,3.728581650948378,0.10006165457153669,0.1819200844892821,0.569888013272501,0.884644611009632,1.7411977978853184
Silver perch,15,34.27217192572423,33.77007428747315,0.9853496988945071,0.23736123961709688,0.38365714395668093,0.6191532023834384,0.6134907251264755,1.463974683588559
Bay anchovy,16,1.9985633562176344,32.29437189440677,16.158793162066793,0.030731068682952403,0.05962965436216054,0.4884135472370766,0.9683400580951871,1.6623077099075723
Mojarra,16,0.11507762549529796,14.09199882799053,122.45646160440046,0,0,1,1,3.645052786460908
Pigfish,16,1.2797870543154097,52.77996209198401,41.24120642884401,0,0,1,1,2.7781149966864804
Pinfish,16,1.8022510196870158,12.126950568471997,6.728779973490041,0,0,1,1,3.476815530307349
Pink shrimp,16,0.6252017610371303,27.664336655200103,44.24865440127437,0,0,1,1,4.015967932273113
Rainwater killifish,16,7.20903833743188,43.49149176266755,6.032911704303793,0.11140246783095863,0.20047187415081869,0.29504950495049515,0.8831492105965013,1.3309021412542126
Silver perch,16,21.686286373769686,29.301517559656602,1.3511542296655181,0.25290477835523184,0.4037094960835509,0.5254083553635122,0.6487509462528387,1.2417363626365676
Bay anchovy,17,3.1548554277662113,33.25935027028903,10.542273974766015,0.05926306237652552,0.11189489085660174,0.35423925667828104,0.9387455927566091,1.6475970850408503
Mojarra,17,0.0890058902636009,14.074876381370604,158.13421268734334,0,0,1,1,3.622499053206406
Pigfish,17,1.2136204525316592,37.140232855329884,30.60284026843312,0,0,1,1,2.8106640800295
Pinfish,17,1.9145731561881258,30.813862983023462,16.09437742476929,0,0,1,1,3.374156067518452
Pink shrimp,17,0.5133579671933338,30.619329341915495,59.64518191724891,0,0,1,1,4.027541871705012
Rainwater killifish,17,7.6071473257500815,28.9549275898471,3.806279325212369,0.11497153382387326,0.20623223165091992,0.5043951444118878,0.8697928309398417,1.4701525728459486
Silver perch,17,24.062999722098613,28.460693548405263,1.1827575064246028,0.23226259402348698,0.37696931668618033,0.5885836971557433,0.652154984762734,1.2981704629040585
Bay anchovy,18,1.7916838171549683,27.028230120376204,15.085379385350807,0.048566903206438965,0.09263482007285374,0.25496688741721857,0.9506122389400248,1.7973685033706301
Mojarra,18,0.1079181088242955,15.013347548418459,139.1179637224936,0,0,1,1,3.564684557679653
Pigfish,18,0.8078243818782509,39.28918876935805,48.635804576742046,0,0,1,1,2.945404578492252
Pinfish,18,1.8027482089936202,20.22423031725424,11.218555212735097,0,0,1,1,3.3792047973010244
Pink shrimp,18,0.4825184622268506,55.656878479015724,115.34662989299106,0,0,1,1,3.8987896085191402
Rainwater killifish,18,8.412550869753742,46.752556360604316,5.557476808692734,0.11420043720813723,0.20499083180094663,0.32788868723532966,0.8790617872280839,1.5432830161845708
Silver perch,18,38.653787747506144,27.493936021711306,0.7112869817909412,0.21523321011943036,0.3542253590951118,0.6969093771801569,0.5738841978287094,1.362764022699215
Bay anchovy,19,4.679521638342706,38.99586589521411,8.333301757960209,0.06647211711110097,0.124657955973876,0.4182648401826484,0.9301915163144475,2.107970682244224
Mojarra,19,0.10634073039521745,20.348868323614433,191.35535601445895,0,0,1,1,3.538293295505688
Pigfish,19,0.9958019732377302,48.825726981613194,49.03156279442008,0,0,1,1,2.880323394837519
Pinfish,19,2.7373817044875115,21.788240748957353,7.959518657277106,0,0,1,1,3.6001752164237697
Pink shrimp,19,0.8483514792522546,40.192099318475535,47.376706826634226,0,0,1,1,3.920607078839599
Rainwater killifish,19,4.819642590985527,43.36059658093527,8.996641506578777,0.0757981194505152,0.1409151365485386,0.29566094853683145,0.9217108905642042,1.5924001597616102
Silver perch,19,82.74679563884214,33.05760217633875,0.39950310971100844,0.25400879776954727,0.40511485760122584,0.7165202484984761,0.29041916167664666,1.176375686275384
Bay anchovy,20,2.775915016568365,29.946018114822753,10.787800756178246,0.041348172892186376,0.07941277272777673,0.5319490287946511,0.9566129388385957,2.1725400461131166
Mojarra,20,0.10429568705067317,27.57554208437122,264.39772213182073,0,0,1,1,3.545914324839013
Pigfish,20,0.8491048388188434,38.965221740352064,45.88976526686041,0,0,1,1,2.9910097783793534
Pinfish,20,1.7157346629186638,16.451567135785265,9.588642982708782,0,0,1,1,3.4452006390521146
Pink shrimp,20,0.776593408130554,38.46222774502881,49.52685323149547,0,0,1,1,3.8277786148376953
Rainwater killifish,20,6.209058415740647,23.17915638880809,3.7331193937628893,0.06620519479742598,0.12418846788681173,0.7061005770816158,0.9212724287871916,1.7159598678748773
Silver perch,20,30.175658009340466,25.653904506438817,0.8501522816336929,0.30614246609899154,0.468773466976135,0.5663488502523837,0.4899135612336512,1.008647796355091
Bay anchovy,21,3.436645919290837,31.42260028140877,9.143391847564244,0.06187429871410696,0.116537896790674,0.40895522388059696,0.935358258076093,1.7047349402460237
Mojarra,21,0.13618199462507286,31.644475858042764,232.36901431179808,0,0,1,1,3.5693460131960015
Pigfish,21,0.7120555363637923,61.43508266595178,86.2784986964336,0,0,1,1,3.0784880161464243
Pinfish,21,2.061634057383633,13.92842825887794,6.75601385657848,0,0,1,1,3.2862171142853622
Pink shrimp,21,0.6974653437174582,38.58949718239129,55.32819304929338,0,0,1,1,4.026474121343622
Rainwater killifish,21,7.499324549587235,26.871084096864116,3.583133910152363,0.08439493404706362,0.15565350113190554,0.6433095803642123,0.9004529474533034,1.705369355512212
Silver perch,21,27.68272345046482,26.000534483736548,0.9392332560870189,0.2259660535139604,0.36863345908523115,0.6425668684177631,0.6194415718717684,1.3580468276932427
Bay anchovy,22,3.67960740009926,32.127916730354066,8.731343656251859,0.05813650384375377,0.10988469565612546,0.46533713200379867,0.9387651100396937,1.9856860194113377
Mojarra,22,0.10877581248582413,13.46185215595865,123.7577715883577,0,0,1,1,3.621955855375951
Pigfish,22,0.8458740124041868,64.04536393846779,75.71501547427228,0,0,1,1,2.9689659746272734
Pinfish,22,1.7915586823471303,18.61783075815195,10.391973727458724,0,0,1,1,3.4562804439069006
Pink shrimp,22,1.2677229506186962,26.37425878393876,20.804434258342596,0,0,1,1,3.83695093748867
Rainwater killifish,22,8.192129252239239,35.61304343899357,4.347226751733573,0.09598682176298784,0.1751605399936924,0.5316884373488148,0.8922734908032037,1.4982681158292335
Silver perch,22,41.0381815635597,18.859254534747272,0.45955385487873457,0.20002748574723395,0.3333715071079071,0.7567131658469604,0.4706021251475797,1.5212611196134023
Bay anchovy,23,2.9831191966739214,19.916486993637545,6.676396644104521,0.044066447350594375,0.08441310888290042,0.6760057471264368,0.9514716889746716,1.8810462743040135
Mojarra,23,0.1352878839057649,20.40985667929701,150.8624134701785,0,0,1,1,3.594878165551329
Pigfish,23,1.151692141891093,30.404943020305897,26.400234849549808,0,0,1,1,2.9013599899014215
Pinfish,23,1.69983968992992,24.5734762954105,14.456349290457856,0,0,1,1,3.369084429922635
Pink shrimp,23,0.9180150828646033,40.93709028067585,44.593047592349414,0,0,1,1,3.8404353148259767
Rainwater killifish,23,6.971855556425492,26.48509303476689,3.7988585420931957,0.09642555874708536,0.17589075332624207,0.577962577962578,0.8889041491382101,1.5945786319078634
Silver perch,23,42.48703504034726,36.78230405033607,0.8657300754313931,0.25060641600488104,0.4007758361027039,0.6261302345385114,0.5681451111939372,1.5299008429917278
Bay anchovy,24,2.682456393223873,26.00497542941394,9.69446343847559,0.03712755641214945,0.07159689506387996,0.6171548117154811,0.9605088831667491,1.5704423033951254
Mojarra,24,0.15973933875477225,16.20301323871691,101.43408233078617,0,0,1,1,3.6175700327377576
Pigfish,24,0.8987082183158511,41.8879459836622,46.60906079412381,0,0,1,1,2.8848365846762283
Pinfish,24,1.802410151762722,15.982084768956007,8.867063222721997,0,0,1,1,3.4231677775947813
Pink shrimp,24,0.9450439197684036,22.653450599149547,23.970791330736347,0,0,1,1,3.966166570554642
Rainwater killifish,24,4.103917907594511,34.0719082706574,8.302287969163707,0.04303115150845407,0.08251172833375396,0.6162260711030082,0.953774919597778,1.842552918752825
Silver perch,24,44.76447713727646,28.14351120613015,0.6287018860920498,0.2036043553696896,0.3383243911694755,0.7244852129956655,0.5617719731733145,1.4465260008775527
Bay anchovy,25,2.9808635031326105,26.9281914225322,9.033688189423358,0.09507484108610632,0.17364080977663615,0.1288711288711289,0.9035688577176276,1.899695000377084
Mojarra,25,0.08029394334015404,14.516977976279298,180.7979203958156,0,0,1,1,3.7153184046299086
Pigfish,25,0.8643810571518539,40.37961681957875,46.71506447935136,0,0,1,1,2.9954147042617114
Pinfish,25,2.4413222298759756,20.527902766938535,8.408518349493502,0,0,1,1,3.27879773801757
Pink shrimp,25,0.8763480719634504,36.52823482670405,41.68233604355727,0,0,1,1,3.93874142037807
Rainwater killifish,25,6.551595534441453,33.628371570213794,5.132852202708624,0.061033145740752456,0.11504474857501763,0.6472237801458216,0.9312709180155203,1.773275956456503
Silver perch,25,19.31659692441343,26.725808619802983,1.3835671326777732,0.263636000152143,0.41726573177782367,0.5027095580708201,0.6405736807532297,1.164014175237969
